understat_player_id,player_code,player_name,web_name,fpl_full_name,team_codes,seasons,method,score,status,reason
9205,226182,Jayden Bogle,Bogle,Jayden Bogle,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14281,551206,Jaydon Banel,Banel,Jaydon Banel,90,2025-2026,exact_name,100.0,accepted,""
6816,462116,Jean-Clair Todibo,Todibo,Jean-Clair Todibo,21,2025-2026,exact_name,100.0,accepted,""
5735,231747,Jean-Philippe Mateta,Mateta,Jean-Philippe Mateta,31,"2025-2026,2026-2027",exact_name,100.0,accepted,""
7762,231057,Jean-Ricner Bellegarde,Bellegarde,Jean-Ricner Bellegarde,39,2025-2026,exact_name,100.0,accepted,""
2182,152551,Jefferson Lerma,Lerma,Jefferson Lerma Solís,31,"2025-2026,2026-2027",contains_name,97.0,accepted,""
14767,552946,Jens Hjertø-Dahl,Hjertø-Dahl,Jens Hjertø-Dahl,88,2026-2027,exact_name,100.0,accepted,""
13714,519634,Jenson Seelt,Seelt,Jenson Seelt,56,2025-2026,exact_name,100.0,accepted,""
9328,216094,Jeremie Frimpong,Frimpong,Jeremie Frimpong,14,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14394,685628,Jerome Abbey,Abbey,Jerome Abbey,39,2025-2026,exact_name,100.0,accepted,""
14584,619734,Jesse Derry,Derry,Jesse Derry,8,2025-2026,exact_name,100.0,accepted,""
13741,230376,Jhon Arias,J.Arias,Jhon Arias,39,2025-2026,exact_name,100.0,accepted,""
6314,174874,Joachim Andersen,Andersen,Joachim Andersen,54,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9339,462635,Joe Gelhardt,Gelhardt,Joe Gelhardt,88,2026-2027,exact_name,100.0,accepted,""
13399,567121,Joe Knight,Knight,Joe Knight,36,2025-2026,exact_name,100.0,accepted,""
6377,214225,Joe Rodon,Rodon,Joe Rodon,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
6630,200089,Joe Willock,Willock,Joe Willock,4,"2025-2026,2026-2027",exact_name,100.0,accepted,""
10756,208912,Joe Worrall,Worrall,Joe Worrall,90,2025-2026,exact_name,100.0,accepted,""
14748,204813,Joel Latibeaudiere,Latibeaudiere,Joel Latibeaudiere,9,2026-2027,exact_name,100.0,accepted,""
87,180974,Joelinton,Joelinton,Joelinton Cássio Apolinário de Lira,4,2025-2026,exact_web,99.0,accepted,""
13102,614071,Johan Manzambi,Manzambi,Johan Manzambi,7,2026-2027,exact_name,100.0,accepted,""
7703,108416,John Egan,Egan,John Egan,88,2026-2027,exact_name,100.0,accepted,""
7723,122806,John McGinn,McGinn,John McGinn,7,"2025-2026,2026-2027",exact_name,100.0,accepted,""
586,97299,John Stones,Stones,John Stones,43,2025-2026,exact_name,100.0,accepted,""
14017,221389,John Victor,John,John Victor Maciel Furtado,17,2025-2026,contains_name,97.0,accepted,""
13262,631786,Jonah Kusi-Asare,Kusi-Asare,Jonah Kusi-Asare,54,2025-2026,exact_name,100.0,accepted,""
605,56979,Jordan Henderson,Henderson,Jordan Henderson,"8,94","2025-2026,2026-2027",exact_name,100.0,accepted,""
741,111234,Jordan Pickford,Pickford,Jordan Pickford,11,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8489,246301,Jorge Cuenca,J.Cuenca,Jorge Cuenca Barreno,54,"2025-2026,2026-2027",contains_name,97.0,accepted,""
13776,551210,Jorrel Hato,Hato,Jorrel Hato,8,"2025-2026,2026-2027",exact_name,100.0,accepted,""
987,171287,Joseph Gomez,Gomez,Joe Gomez,14,2025-2026,last_initial,96.0,accepted,""
12535,577016,Josh Acheampong,Acheampong,Josh Acheampong,8,"2025-2026,2026-2027",exact_name,100.0,accepted,""
1018,172567,Josh Cullen,Cullen,Josh Cullen,90,2025-2026,exact_name,100.0,accepted,""
10405,183656,Josh Dasilva,Dasilva,Josh Dasilva,94,2025-2026,exact_name,100.0,accepted,""
13728,167887,Josh Laurent,Laurent,Josh Laurent,90,2025-2026,exact_name,100.0,accepted,""
12410,577725,Joshua King,King,Josh King,54,"2025-2026,2026-2027",last_initial,96.0,accepted,""
8044,458249,Joshua Zirkzee,Zirkzee,Joshua Zirkzee,1,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9790,477424,Josko Gvardiol,Gvardiol,Joško Gvardiol,43,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9740,149065,José Sá,José Sá,José Malheiro de Sá,39,2025-2026,exact_web,99.0,accepted,""
12766,510500,Jota Silva,Jota,João Pedro Ferreira da Silva,17,2025-2026,last_initial,96.0,accepted,""
11384,448089,João Gomes,Gomes,Joao Gomes,"7,39","2025-2026,2026-2027",exact_name,100.0,accepted,""
10715,154296,João Palhinha,J.Palhinha,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,6,2025-2026,web_last_initial,95.5,accepted,""
8272,475168,João Pedro,João Pedro,João Pedro Junqueira de Jesus,8,"2025-2026,2026-2027",exact_web,99.0,accepted,""
14263,672492,Joél Drakes-Thomas,Drakes-Thomas,Joél Drakes-Thomas,31,2025-2026,exact_name,100.0,accepted,""
13835,235826,Joël Piroe,Piroe,Joël Piroe,2,2025-2026,exact_name,100.0,accepted,""
8780,111478,Joël Veltman,Veltman,Joël Veltman,36,2025-2026,exact_name,100.0,accepted,""
11058,474120,Julio Enciso,Enciso,Julio Enciso,40,2026-2027,exact_name,100.0,accepted,""
13474,575901,Julio Soler,Soler,Julio Soler Barreto,91,2025-2026,contains_name,97.0,accepted,""
14134,640419,Jun&#039;ai Byfield,Byfield,Jun'ai Byfield,6,2025-2026,exact_name,100.0,accepted,""
11707,445122,Jurriën Timber,J.Timber,Jurriën Timber,3,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13038,489706,Justin Devenny,Devenny,Justin Devenny,31,2025-2026,exact_name,100.0,accepted,""
6963,222683,Justin Kluivert,Kluivert,Justin Kluivert,91,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8981,248875,Jéremy Doku,Doku,Jérémy Doku,43,2025-2026,exact_name,100.0,accepted,""
11545,606702,Jérémy Jacquet,Jacquet,Jeremy Jacquet,14,2026-2027,exact_name,100.0,accepted,""
11070,247412,Jørgen Strand Larsen,Strand Larsen,Jørgen Strand Larsen,"31,39","2025-2026,2026-2027",exact_name,100.0,accepted,""
14935,554054,Kaden Braithwaite,Braithwaite,Kaden Braithwaite,43,2026-2027,exact_name,100.0,accepted,""
11033,530318,Kaden Rodney,Rodney,Kaden Rodney,31,2025-2026,exact_name,100.0,accepted,""
5220,219847,Kai Havertz,Havertz,Kai Havertz,3,"2025-2026,2026-2027",exact_name,100.0,accepted,""
10806,451340,Kaoru Mitoma,Mitoma,Mitoma Kaoru,36,2025-2026,fuzzy_team,100.0,accepted,""
780,59735,Karl Darlow,Darlow,Karl Darlow,2,2025-2026,exact_name,100.0,accepted,""
10166,461587,Kasey McAteer,McAteer,Kasey McAteer,40,2026-2027,exact_name,100.0,accepted,""
14356,593174,Kaye Furo,Furo,Kaye Furo,94,2025-2026,exact_name,100.0,accepted,""
10809,249231,Keane Lewis-Potter,Lewis-Potter,Keane Lewis-Potter,94,"2025-2026,2026-2027",exact_name,100.0,accepted,""
5973,167074,Kenny Tete,Tete,Kenny Tete,54,"2025-2026,2026-2027",exact_name,100.0,accepted,""
